CustomerID,Lookalikes
C0001,"[('C0137', 0.9985), ('C0107', 0.9959), ('C0152', 0.9942)]"
C0002,"[('C0142', 0.982), ('C0043', 0.9787), ('C0097', 0.9622)]"
C0003,"[('C0133', 0.9854), ('C0190', 0.981), ('C0001', 0.9767)]"
C0004,"[('C0113', 0.9936), ('C0102', 0.9846), ('C0122', 0.9803)]"
C0005,"[('C0123', 0.9986), ('C0159', 0.9957), ('C0178', 0.9929)]"
C0006,"[('C0117', 0.9923), ('C0026', 0.9889), ('C0079', 0.9808)]"
C0007,"[('C0140', 0.9981), ('C0080', 0.9923), ('C0078', 0.9904)]"
C0008,"[('C0124', 0.9462), ('C0017', 0.9313), ('C0109', 0.9177)]"
C0009,"[('C0060', 0.9785), ('C0033', 0.9764), ('C0014', 0.9705)]"
C0010,"[('C0094', 0.9722), ('C0121', 0.9514), ('C0199', 0.9484)]"
C0011,"[('C0107', 0.9979), ('C0048', 0.9978), ('C0183', 0.9918)]"
C0012,"[('C0155', 0.9949), ('C0122', 0.9898), ('C0108', 0.9864)]"
C0013,"[('C0155', 0.9902), ('C0099', 0.9853), ('C0104', 0.9853)]"
C0014,"[('C0198', 0.9891), ('C0060', 0.9778), ('C0009', 0.9705)]"
C0015,"[('C0150', 0.9955), ('C0130', 0.9943), ('C0132', 0.9898)]"
C0016,"[('C0183', 0.9878), ('C0048', 0.9818), ('C0187', 0.9794)]"
C0017,"[('C0109', 0.9943), ('C0124', 0.9863), ('C0075', 0.9683)]"
C0018,"[('C0148', 0.994), ('C0149', 0.9825), ('C0163', 0.9796)]"
C0019,"[('C0172', 0.9964), ('C0119', 0.9224), ('C0157', 0.9188)]"
C0020,"[('C0167', 0.9959), ('C0061', 0.9656), ('C0042', 0.9468)]"
